entity,entity_group,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,share_of_voice,avg_stance,stance_label,avg_sentiment,top_cluster,top_frame,impact_score,narrative_role,sample_headline,sample_link
The Irish Times,Media outlet,Media outlet,37,37,36.25414538342482,15422858,0.0615978106295082,-0.1825135135135135,Lean preserve,0.15,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,100.0,Media amplifier,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Government,Actor / organisation,State / government,412,222,324.573850215696,54061433,0.09027718198173985,-0.28322815533980583,Lean preserve,0.03337378640776699,Ukraine war and moral neutrality,Other Neutrality Debate,93.2,Government responder / reframer,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
The Irish Independent,Media outlet,Media outlet,27,27,25.423826277867448,3408559,0.0431964957380455,-0.0259629629629629,Mixed / unclear,0.0722222222222222,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,57.3,Media amplifier,New law will free IDA and EI to support firms with defence links,https://independent.ie/world-news/pope-leo-xiv-delivers-easter-message-rejecting-trump-administrations-depiction-of-warlike-god-as-iran-conflict-rages/a130741528.html
The Irish Examiner,Media outlet,Media outlet,21,21,21.007480146479324,8605107,0.0356928778814243,-0.289095238095238,Lean preserve,0.2642857142857143,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,56.4,Media amplifier,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html
Dáil,Actor / organisation,State / government,185,92,144.25052581222567,20815100,0.04012193514991371,-0.5031621621621623,Strong preserve,0.04432432432432432,Defence capability and security gaps,Other Neutrality Debate,51.3,Defender of neutrality,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html
Micheál Martin,Actor / organisation,Person,155,73,121.42710648564784,18532056,0.03377381444141621,-0.1630451612903226,Lean preserve,-0.01032258064516129,General neutrality debate,Defence Capability / Underinvestment,46.7,Government responder / reframer,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Sinn Féin,Actor / organisation,Political party,161,75,124.10664807118415,16821205,0.03451910388227642,-0.5097204968944099,Strong preserve,-0.02360248447204969,Sinn Féin and government neutrality clash,Other Neutrality Debate,43.2,Neutrality defender / challenger,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://irishtimes.com/culture/books/review/2026/04/20/crime-fiction-anne-cadwallader-blends-politics-violence-law-and-media-in-gripping-debut
Defence Forces,Actor / organisation,State / government,133,64,106.43152870893108,14266319,0.02960293467716425,-0.4224887218045113,Lean preserve,0.0368421052631579,Defence capability and security gaps,Other Neutrality Debate,38.2,Amplifier / recurring participant,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html
Russia,Actor / organisation,State / geopolitical actor,129,74,102.56583129112244,15157251,0.028527727080982564,0.0352015503875969,Mixed / unclear,-0.022480620155038763,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,37.2,Geopolitical reference point,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Ukraine,Actor / organisation,State / geopolitical actor,116,86,96.06529603201608,18862466,0.026719663972463288,0.041379310344827586,Mixed / unclear,0.008189655172413794,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,36.7,Geopolitical reference point,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Israel,Actor / organisation,State / geopolitical actor,94,66,77.60277399556655,16287909,0.021584486074986954,-0.46491489361702126,Strong preserve,0.14840425531914894,Ukraine war and moral neutrality,Other Neutrality Debate,36.3,Geopolitical reference point,Whisky diplomacy of King Charles and Donald Trump can’t mask depth of US-UK political breach,https://irishtimes.com/world/uk/2026/05/01/whisky-diplomacy-of-king-charles-and-donald-trump-cant-mask-depth-of-us-uk-political-breach
Donald Trump,Actor / organisation,Person,89,73,74.43170861735119,15759532,0.020702483886471463,-0.34838202247191014,Lean preserve,0.11741573033707867,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,36.2,Geopolitical reference point,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238
Shannon Airport,Actor / organisation,Institution / issue actor,95,50,74.80992306426675,13754557,0.020807680698936883,-0.8215578947368422,Strong preserve,0.17473684210526316,Shannon Airport and US military use,Shannon / US Military / Anti-war,36.2,Issue symbol / mobilising frame,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh
The Sligo Champion,Media outlet,Media outlet,28,2,20.802918052534327,1579107,0.0353453154994805,0.0,Mixed / unclear,0.0232142857142857,Referendum and constitutional protection,Ukraine / Russia / Moral Responsibility,35.6,Media amplifier,Irish Independent,https://independent.ie/sport/soccer/league-of-ireland/league-of-ireland-tensions-flare-as-shels-and-bohs-players-and-staff-clash-before-dublin-derby/a1814346165.html
US military,Actor / organisation,Institution / issue actor,76,51,60.47646186753913,11632808,0.01682096247125074,-0.7453026315789474,Strong preserve,0.19342105263157897,Shannon Airport and US military use,Shannon / US Military / Anti-war,34.5,Issue symbol / mobilising frame,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html
NATO,Actor / organisation,International body,82,68,68.7100563152801,16333958,0.019111059790639193,-0.01019512195121951,Mixed / unclear,0.04085365853658537,Ukraine war and moral neutrality,Other Neutrality Debate,34.4,Alignment reference point,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238
Fianna Fáil,Actor / organisation,Political party,77,53,60.33480642808715,9361209,0.01678156233511035,-0.473,Strong preserve,-0.020129870129870133,Sinn Féin and government neutrality clash,Other Neutrality Debate,33.7,Defender of neutrality,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Palestine,Actor / organisation,State / geopolitical actor,89,39,68.95443158976097,9022459,0.019179030488560442,-0.6494044943820225,Strong preserve,0.17247191011235957,Defence capability and security gaps,Shannon / US Military / Anti-war,33.3,Geopolitical reference point,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh
UN Security Council,Actor / organisation,International body,92,40,71.51533021224189,8958101,0.019891320498445275,-0.7339782608695652,Strong preserve,0.052717391304347834,Referendum and constitutional protection,Other Neutrality Debate,32.0,Institutional legitimacy anchor,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html
Fine Gael,Actor / organisation,Political party,65,45,48.65872572657223,6769052,0.01353396964819595,-0.537923076923077,Strong preserve,-0.07384615384615385,Sinn Féin and government neutrality clash,Other Neutrality Debate,31.6,Defender of neutrality,Classic Hits 4FM - Neutrality,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669
Mary Lou McDonald,Actor / organisation,Person,92,35,69.24780918506873,9048899,0.01926063072389475,-0.5721847826086957,Strong preserve,-0.009782608695652175,Sinn Féin and government neutrality clash,Other Neutrality Debate,30.9,Neutrality defender / challenger,Cork's 96 FM - Neutrality,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669
