actor,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,stance_strength,avg_sentiment,cluster_spread,top_cluster,top_frame,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,cluster_spread_s,share_of_voice,stance_label,impact_score,narrative_role
Government,State / government,412,222,324.573850215696,54061433,-0.28322815533980583,0.4778398058252427,0.03337378640776699,11,Ukraine war and moral neutrality,Other Neutrality Debate,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,1.0,1.0,1.0,1.0,1.0,0.09027718198173985,Lean preserve,93.2,Government responder / reframer
Dáil,State / government,185,92,144.25052581222567,20815100,-0.5031621621621623,0.6370864864864865,0.04432432432432432,10,Defence capability and security gaps,Other Neutrality Debate,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html,0.44768856447688565,0.411764705882353,0.4436248619587135,0.38502678980041094,0.9,0.04012193514991371,Strong preserve,51.3,Defender of neutrality
Micheál Martin,Person,155,73,121.42710648564784,18532056,-0.1630451612903226,0.5459999999999999,-0.01032258064516129,11,General neutrality debate,Defence Capability / Underinvestment,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.3746958637469586,0.32579185520362,0.3732047811377405,0.342796240713782,1.0,0.03377381444141621,Lean preserve,46.7,Government responder / reframer
Sinn Féin,Political party,161,75,124.10664807118415,16821205,-0.5097204968944099,0.5180062111801242,-0.02360248447204969,9,Sinn Féin and government neutrality clash,Other Neutrality Debate,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://irishtimes.com/culture/books/review/2026/04/20/crime-fiction-anne-cadwallader-blends-politics-violence-law-and-media-in-gripping-debut,0.38929440389294406,0.33484162895927605,0.3814723212603063,0.3111498172828678,0.8,0.03451910388227642,Strong preserve,43.2,Neutrality defender / challenger
Defence Forces,State / government,133,64,106.43152870893108,14266319,-0.4224887218045113,0.6320075187969925,0.0368421052631579,7,Defence capability and security gaps,Other Neutrality Debate,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html,0.32116788321167883,0.28506787330316746,0.326936963687448,0.26389087762435004,0.6000000000000001,0.02960293467716425,Lean preserve,38.2,Amplifier / recurring participant
Russia,State / geopolitical actor,129,74,102.56583129112244,15157251,0.0352015503875969,0.3781782945736434,-0.022480620155038763,8,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.31143552311435524,0.330316742081448,0.3150096218331752,0.2803708699323601,0.7000000000000001,0.028527727080982564,Mixed / unclear,37.2,Geopolitical reference point
Ukraine,State / geopolitical actor,116,86,96.06529603201608,18862466,0.041379310344827586,0.2904655172413793,0.008189655172413794,7,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.2798053527980535,0.3846153846153847,0.2949526701654299,0.34890799139564055,0.6000000000000001,0.026719663972463288,Mixed / unclear,36.7,Geopolitical reference point
Israel,State / geopolitical actor,94,66,77.60277399556655,16287909,-0.46491489361702126,0.5037446808510638,0.14840425531914894,8,Ukraine war and moral neutrality,Other Neutrality Debate,Whisky diplomacy of King Charles and Donald Trump can’t mask depth of US-UK political breach,https://irishtimes.com/world/uk/2026/05/01/whisky-diplomacy-of-king-charles-and-donald-trump-cant-mask-depth-of-us-uk-political-breach,0.22627737226277372,0.2941176470588236,0.23798783613410804,0.301285187908356,0.7000000000000001,0.021584486074986954,Strong preserve,36.3,Geopolitical reference point
Donald Trump,Person,89,73,74.43170861735119,15759532,-0.34838202247191014,0.37647191011235953,0.11741573033707867,9,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.21411192214111924,0.32579185520362,0.22820373336548938,0.29151154761287956,0.8,0.020702483886471463,Lean preserve,36.2,Geopolitical reference point
Shannon Airport,Institution / issue actor,95,50,74.80992306426675,13754557,-0.8215578947368422,0.8215578947368419,0.17473684210526316,7,Shannon Airport and US military use,Shannon / US Military / Anti-war,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,0.22871046228710462,0.22171945701357468,0.22937068786684398,0.2544245728743446,0.6000000000000001,0.020807680698936883,Strong preserve,36.2,Issue symbol / mobilising frame
